Tweet ID,Tweet Text,Tweet Label
'499484255869612034,There will be no #BlackOut or Censoring The Global Community from witnessing this #HUMAN travesty #Unity #Ferguson $URL$ <end>,non-rumours
'580699430690656256,"BREAKING : #Germanwings crash victims include 72 German citizens , 35 Spaniards , 2 Americans , per CEO - via @AP <end>",rumours
'552792988376915969,"11 dead in Paris shooting at French satirical newspaper Charlie Hebdo , police official says - @AP $URL$ <end>",rumours
'544330174351679489,The incident in Sydney is disturbing . Such acts are inhuman & deeply unfortunate . I pray for everyone's safety . <end>,non-rumours
'580330740086243328,The French president has said he believed none of the 148 people on board #Germanwings flight #4U9525 plane survived $URL$ <end>,rumours
'553473629854646272,I know a guy that feels really weird hearing all this media fountain about European freedom of speech . #CharlieHebdo $URL$ <end>,non-rumours
'500318980007948288,You can say what you want about #MikeBrown but that doesn't make him guilty . That police officer though ? He killed him . #Ferguson <end>,non-rumours
'524977812852461568,To the folks attending Saturday's NHL game in Ottawa : you're belting out O Canada for a whole nation . Let her rip . <end>,non-rumours
'544296373466562560,"NSW Police : "" Police urge the media to be responsible in their reporting . Speculation can cause unnecessary alarm . "" #SydneySiege <end>",non-rumours
'525051210349289472,"Breaking News : U . S . agencies have been advised that #Ottawa shooter was believed to be a #Canadian convert to #Islam , #FoxNews confirms . <end>",rumours
'580331192316198912,"Debris from the Germanwings crash has already been found , says French interior minister $URL$ $URL$ <end>",non-rumours
'552851305023414272,"we strongly condemn #CharlieHebdo attack "" Because ISLAM denounces any violence "" . #charliehebdoattack left 12 dead . $URL$ <end>",non-rumours
'500286805720449025,#Ferguson Police apparently has a history of fabrication . $URL$ <end>,rumours
'544334477011349505,"Sydney's Daily Telegraph has printed a special 2pm edition - "" Death cult CBD attack "" #MartinPlaceSiege $URL$ <end>",rumours
'500294803402137600,Photos of alleged robbery involving Michael Brown in #Ferguson ( via police ) $URL$ $URL$ <end>,rumours
'544293694166536192,BREAKING PHOTO Appears To Show #SydneySiege Suspect - - MORE HERE : $URL$ $URL$ <end>,rumours
'581248880098086912,#Germanwings Flight 9525 co-pilot crashed plane ! My #Prayers go out to the families ! $URL$ $URL$ <end>,non-rumours
'500319801344929795,"The day #Ferguson cops told a dirty , bloody lie ( via @thedailybeast ): $URL$ $URL$ <end>",rumours
'500356642329071616,Educated guess : possible reason they didn't release shooter's incident report--he didn't write one on advice of his lawyer . #Ferguson <end>,rumours
'552833268362772481,Papers covering the #CharlieHebdo story without publishing the cartoons aren't curbing terrorism - they are victims of it . <end>,non-rumours
'544454229960974336,A gunman holding hostages in a Sydney cafe is said to be demanding an #ISIS flag $URL$ #sydneysiege $URL$ <end>,rumours
'544317165965303808,Ugh : Uber introduces $ 100 minimum surge pricing during #SydneySiege $URL$ via @jennijenni $URL$ <end>,rumours
'553467311261503488,Reports of shooting at Dammartin en Goele on route N2 north east of Paris - French media says car chase under way <end>,rumours
'553487356733313024,From Paris to #Peshawar : Answer with #HumanRights . $URL$ #CharlieHebdo <end>,non-rumours
'553528788383191040,#BREAKING Armed man takes hostage in kosher grocery in Paris : source <end>,rumours
'544460097146331136,If u abuse or target a innocent muslim man or woman in response to what's happening in Sydney you are a moron . <end>,non-rumours
'553184643055644674,The artist behind this iconic #CharlieHebdo pencil tribute $URL$ $URL$ <end>,rumours
'500308708988301312,"The "" Robbery "" Incident Report released by #Ferguson PD today is sketchy at best . What stood out ? NAMING #MikeBrown . How did they know ? <end>",rumours
'524937421180653568,"List of reporters , MPs , police etc . actively tweeting about the shooting in Ottawa . $URL$ <end>",non-rumours
'552812811651272705,Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle . $URL$ CC @EliotHiggins <end>,non-rumours
'544334554631536640,"Hostages held in Sydney cafe , forced to hold Islamic flag in window : $URL$ $URL$ <end>",rumours
'580321327845765120,"BREAKING : A #Lufthansa #Germanwings Airbus jet carrying 148 people has crashed in southern #France , en route from #Barcelona to #Duesseldorf <end>",rumours
'544287499397242880,#BREAKING : unconfirmed reports contact has been made to a Sydney radio station . @campricenews #martinplace $URL$ <end>,rumours
'525021050627973120,Thoughts and prayers with everybody in Ottawa . Stay safe . #OttawaStrong #CanadaStrong <end>,non-rumours
'524933657493250048,Two Tory MPs say gunman at Parliament Hill has been ' shot and killed ' $URL$ $URL$ <end>,rumours
'580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf . <end>,rumours
'553157352091025408,"Cartoonists around the world continue to show support for #CharieHebdo , this by famous #DRCongo's Kash #JeSuisCharlie $URL$ <end>",non-rumours
'553513403512532992,"Killing of policewoman in Paris linked to #CharlieHebdo killers , police tell French media after identifying suspect $URL$ <end>",rumours
'553114307383541761,This is Melbourne right now ! #JeSuisCharlie #CharlieHebdo $URL$ $URL$ <end>,non-rumours
'552836844560609281,"Counter terrorism expert Colonel Mike Dewar says Paris will have been put on "" virtual shutdown "" #CharlieHebdo $URL$ <end>",non-rumours
'544297950134816768,A picture of the gunman inside Lindt cafe at Martin Place . Updates : $URL$ #SydneySiege $URL$ <end>,rumours
'524950321064607744,LIVE STREAM : CBC News coverage of the #OttawaShooting $URL$ Mobile : $URL$ #CBCNN $URL$ <end>,non-rumours
'544320939245043712,50 hostages in a cafe ... at Sydney ... Imagine if @Bdutt were reporting this ugly incident .. You would be dead by now ... <end>,rumours
'552981296839131136,Good article on why we are not all Charlie Hebdo $URL$ . $URL$ … via @pennjillette and @SaHreports <end>,non-rumours
'552848701312737280,PHOTO : Forensic experts examine the car believed to have been used as the escape vehicle in the Charlie Hebdo attack : $URL$ <end>,non-rumours
'525030963781595136,Soldier killed in #OttawaShooting identified as Cpl . Nathan Cirillo ( via @globeandmail ) $URL$ $URL$ <end>,rumours
'500380881563811840,This is incredible . A witness to the Michael Brown shooting live tweeted the entire event . #Ferguson $URL$ <end>,non-rumours
'544305463048015872,Sydney hostage situation . LIVE VIDEO : $URL$ UPDATES : $URL$ $URL$ <end>,rumours
'544495167836016640,"At least 5 dead as gunman goes on rampage in PA , suspect reportedly barricaded in a home $URL$ $URL$ <end>",non-rumours
'553573875528007680,#CharlieHebdo suspects were on British terror watch list for years $URL$ $URL$ <end>,non-rumours
'544305673287524353,"Sydney cafe in hostage crisis may hold up to 10 staff and perhaps 30 customers , Lindt says $URL$ $URL$ <end>",rumours
'552846337746952194,Terrorists are sick people . You can't be in your right mind and say you believe in God and kill his creation . Makes no sense . #CharlieHebdo <end>,non-rumours
'500312651797233665,#MichaelBrown death in #Ferguson just one of many cases of police killing unarmed black people . What the data shows : $URL$ <end>,non-rumours
'500298752469770240,Shoot unarmed kid . Conceal evidence . Impose martial law . Harass reporters . Smear the victim . Worst . Police . Ever . #Ferguson #MikeBrown <end>,rumours
'544280873806610433,UPDATE : Reports the Sydney Opera House has also been evacuated . #9News <end>,rumours
'500364921607974913,Are we supposed to be cool & remain calm when the police after MURDERING a teenager SLANDER him to hide the killing behind racism ? #Ferguson <end>,rumours
'498302874531553280,"Unarmed teen killed by cops isn't the headline but calling black people "" ANGRY MOB ! "" is , that tells you everything about the media #Ferguson <end>",non-rumours
'544276998017646593,"This is The Islamic State flag , not the one in the window in Sydney . $URL$ <end>",rumours
'500404132394459136,MSNBC is literally reporting that Police Chief CLEARLY said it was about jay walking . This is a fucking clown show . #Ferguson <end>,rumours
'553536236493615104,Breaking : Armed man linked to Charlie Hebdo suspects takes hostages at kosher grocery store in east Paris $URL$ <end>,rumours
'499456140044824576,St . Louis Co Police tell me ofcr shot a man who pointed handgun at him at Chambers & Sheffingdell at about 1 a . m . Man in critical . #ferguson <end>,rumours
'544355197435142145,Police confirm three safe #SydneySiege : “ Our number one aim is to resolve incident peacefully ” $URL$ <end>,rumours
'580336326634962944,French PM says he fears those aboard the #Germanwings Airbus A320 jetliner may be dead . $URL$ $URL$ <end>,non-rumours
'525033278555033601,"Gunman shot dead in #OttawaShootings named by US officials as 32 - year-old , Canadian-born , Michael Zehaf-Bibeau $URL$ <end>",rumours
'581063730319925248,"Andreas Lubitz , copilot who apparently deliberately crashed Germanwings 9525 , was 24 yrs old . "" He had no reason to do it , "" prosecutor says . <end>",rumours
'544513557912879105,Live ammunition and stun grenades used by police as they stormed #MartinPl cafe moments ago . #SydneySiege #9News <end>,rumours
'580330986220687360,#BREAKING : A helicopter has located the Airbus A320 crash scene - officials #germanwings #A320 $URL$ <end>,non-rumours
'580334729678966784," If our fears are confirmed , this is a dark day for Lufthansa ,  #Germanwings ' parent company says after crash $URL$ <end>",non-rumours
'524943504192311296,All Ottawa police stations are closed . University of Ottawa in lockdown . Campus closed . <end>,rumours
'525003468659228672,These are not timid colours ; soldiers back guarding Tomb of Unknown Soldier after today's shooting #StandforCanada $URL$ <end>,rumours
'544381860214603776,Further @channeltennews reporting #sydneysiege gunman says there are 4 bombs : 2 in cafe and 2 elsewhere in CBD . <end>,rumours
'499601812005998592,"On local tv now , @LauraKHettiger reports shooting victim last night in #Ferguson was 19 - year-old male , shot multiple times by county police <end>",non-rumours
'553517053110657024,"Schools near siege building in Dammartin-en-Goele being evacuated , say officials . Follow our coverage : $URL$ #CharlieHebdo <end>",non-rumours
'553589914684895232,"BREAKING : #CharlieHebdo terror suspects killed in police raid , hostage freed , @AFP reports $URL$ <end>",non-rumours
'524996383120818176,Ottawa shooting : Kevin Vickers labelled ' hero ' after taking down gunman in Canadian Parliament $URL$ $URL$ <end>,rumours
'553528740618436610,What we do and don't know about the standoff with the Charlie Hebdo attack suspects $URL$ $URL$ <end>,non-rumours
'544428082749132800,Join us in Prayer #sydneysiege #PrayForSydney $URL$ <end>,non-rumours
'500336373833170945,#Ferguson police are embarking on what can only be described as an elaborate smear campaign of Michael Brown $URL$ <end>,rumours
'544367253857525761,Deputy Commissioner Catherine Burn confirms police are in contact with #sydneysiege gunman $URL$ $URL$ <end>,rumours
'580329875891974145,Germanwings Airbus A320 crashes in French Alps : flightradar data shows flight #4U9525 had rapid descent $URL$ <end>,rumours
'525007169956347904,the @OttawaPolice just sent an email to #muslim community leaders to call them if they feel unsafe or they're at risk #ottawashooting <end>,non-rumours
'552817675408523264,French media calling #CharlieHebdo attack the worst attack in France in decades $URL$ $URL$ <end>,non-rumours
'544515097625108480,"CPR being performed on at least 2 after Sydney siege , which has now ended , Australia's ABC reports $URL$ <end>",rumours
'544516514519343104,A bomb detection robot has entered the #MartinPl café . #SydneySiege #9News <end>,rumours
'524984773211860994,"Ottawa Police confirms 1 gunman dead , 1 soldier killed in #OttawaShooting $URL$ $URL$ <end>",rumours
'500349179848560640,"So , many of those calling for transparency yesterday are condemning police for what they released today . Can ’ t have it both ways . #ferguson <end>",non-rumours
'544334623023452160,"Btw , how come no "" professionally "" secular voice has blamed RSS for the Sydney terror plot so far ? Is Lutyens zone waking up late today ? ? <end>",non-rumours
'544329935943237632,Uber Sydney trips from CBD will be free for riders . Higher rates are still in place to encourage drivers to get into the CBD . <end>,rumours
'524928297986433024,A reminder for those observing the shooting on Parliament Hill : DO NOT tweet police locations and movements #ottcity #ottawa <end>,non-rumours
'553105460887572480,"Chapeau , George Packer and @NewYorker , for telling it exactly as it is . $URL$ #JeSuisCharlie <end>",non-rumours
'525044678765187072,"When you kill because your ideology calls you to do so , you r a terrorist . No euphemism can change that . #Terrorism is terrorism . #Ottawa <end>",non-rumours
'552790824971677696,11 dead as shots fired at French satirical weekly #CharlieHebdo . Photo : Philippe Dupeyrat #AFP $URL$ <end>,rumours
'552829306439598080,More relevant than ever . #CharlieHebdo #PeshawarAttack #MumbaiAttacks #Sept11 #PewChurchAttack #SydneySeige #EveryDay $URL$ <end>,non-rumours
'552983966932688897,"Meet Ahmed Merabet , first officer on scene to die at #CharlieHebdo , #ParisShooting $URL$ <end>",non-rumours
'580339547269144576,"Latest on #Germanwings crash : Pilots signaled 911 before dropping out of midair ; airline CEO calls this a "" dark day . "" $URL$ <end>",rumours
'524987990524047361,Ottawa police chief confirms that both gunman and soldier at war memorial are dead . <end>,rumours
'544474153646956547,Our thoughts are with the people of Sydney tonight . Let's hope we all wake up to a good news story tomorrow ❤ ️ $URL$ <end>,non-rumours
'581063816882065408,French officials confirm i / d of #Germanwings copilot as being Andreas Lubitz . Thought to be 28 y / o . Pictured here . $URL$ <end>,rumours
'525026947307700225,Rest In Peace Cpl . Nathan Cirillo and thank you for serving our country #OttawaShooting $URL$ <end>,rumours
'499679142766735362,Witness To #MichaelBrown's Shooting Opens Up : He Was ' Shot Like An Animal ' $URL$ #Ferguson $URL$ <end>,non-rumours
'552811386259386370,At least 12 dead in the Paris shooting . Updated story and background info : $URL$ #CharlieHebdo $URL$ <end>,rumours
'499581469027618816,WAKE UP ! ! ! #Ferguson $URL$ <end>,non-rumours
'553546292748898304,"#CharlieHebdo attack shows ‘ a complete change in terrorist methods ' , French FM @LaurentFabius tells me $URL$ <end>",non-rumours
'524927789892653056,Canine unit running to Parliament Hill $URL$ <end>,non-rumours
'524971258996588544,Our thoughts & prayers go out to everyone affected by the events in our nation's capital . #OttawaStrong #Ottawa $URL$ <end>,non-rumours
'544513292576641025,DEVELOPING : Police appear to storm cafe in Sydney where hostages have been held Live : $URL$ $URL$ <end>,rumours
'553128325217275905,#EU flags are flying at half-mast in Brussels today . RT :@ EU_Commission #JeSuisCharlie $URL$ <end>,non-rumours
'544301453717041152,BREAKING UPDATE : Gunman says four devices are located around Sydney . Security response underway . Police calling for calm . 9News <end>,rumours
'524961408740380672,"OTTAWA SHOOTING - Soldier shot at memorial - Gunfire in Parliament - PM safe , will speak later today $URL$ <end>",rumours
'544519788752818176,#Sydneysiege ends with shootout leaving two dead and more injured $URL$ <end>,rumours
'524967631171117056,"Wow . Photo from MP Nina Grewal showing the doors of Reading Room Barricaded . #ParliamentHill #Ottawa $URL$ "" <end>",non-rumours
'544334431830286336,thoughts with the hostages and their families . prayers for a peaceful ending . #sydneysiege <end>,non-rumours
'553505858811080704,AFP map of the region northeast of Paris where Wednesday's massacre suspects are cornered with hostage $URL$ <end>,rumours
'524936137589411840,DEVELOPING MPs tweeting that gunman has been shot dead . CBC has not confirmed this . Condition of soldier also unknown $URL$ <end>,rumours
'498284334806495233,Things are getting very tense in #Ferguson . $URL$ <end>,non-rumours
'553537648938086403,To whom said #KillAllMuslims just in case you are confused . #CharlieHebdo $URL$ <end>,non-rumours
'544373515067998208,Powerful series of images of one of the hostages escaping #sydneysiege $URL$ <end>,rumours
'553506608203169792,"Map shows industrial estate where 2 #CharlieHebdo suspects are holed up , surrounded by police $URL$ $URL$ <end>",rumours
'544512398628241408,BREAKING : Heavily armed police storm Sydney cafe where gunman has been holding hostages . <end>,rumours
'553172900270727169,The threat of violence should not become an excuse or justification for restricting freedom of speech . #JeSuisCharlie $URL$ <end>,non-rumours
'544511865729323009,Police confirm that live ammunition was used as heavily armed police stormed the café in Sydney - @9NewsSyd $URL$ <end>,rumours
'580882302621843456,New York Times just reporting one of the pilots was locked out of the cockpit before it crashed #Germanwings #cbc <end>,rumours
'524943658748219392,#Ottpolice and @RCMPGRCpolice investigating several shooting incidents in downtown #Ottawa . <end>,non-rumours
'552841049467400192,People died today for telling jokes . #CharlieHebdo <end>,non-rumours
'552824456557887488,"Retweet if you think satire should not be censored : "" Love stronger than hate "" : #CharlieHebdo $URL$ <end>",non-rumours
'580883793709547521,"The door is solid , you can ’ t knock it down … it ’ s bulletproof - @JimTilmon on @NYTimes rpt #Germanwings pilot locked out $URL$ <end>",rumours
'553555156391186432,#CharlieHebdo : Hundreds of Muslims gather outside the Grande Mosquee of Strasbourg to observe a minute of silence $URL$ <end>,non-rumours
'500298315368390657,#Ferguson police once beat a man then charged him with destruction of property for bleeding on their uniforms $URL$ <end>,rumours
'544520586576547840,Video : The moment the police stormed the Sydney cafe . Police confirm the siege is now over . $URL$ $URL$ <end>,non-rumours
'524949439367380993,"#OttawaShooting police say they are investigating 3 shootings , one at War Memorial , one on Parliament Hill and one near Rideau Centre <end>",rumours
'500287491182579712,And I feel silly for pointing this out but ... In America we don't have executions by gunfire for alleged robberies . #Ferguson #MikeBrown <end>,rumours
'544508035113439232,Beautiful : Sydney stands up to racism & bigotry with one hashtag : #illridewithyou ( Via @LotteLeicht1 ) $URL$ <end>,non-rumours
'544268900351766528,#BREAKING A police operation is underway in the heart of Sydney's CBD with one block of Martin Place blocked off . <end>,non-rumours
'500402908740210688,More peaceful protesting today in #Ferguson . #MichaelBrown $URL$ <end>,non-rumours
'544477802255630336,#IllRideWithYou : Sydney Stands Up To Racism And Bigotry With One Beautiful Hashtag $URL$ $URL$ <end>,non-rumours
'544366894107480064,Praying for the hostages in the cafe in Sydney . No religion represents hate and violence . When will this madness stop . #sydneysiege <end>,rumours
'500291116403789824,"Let's not forget that even if Mike Brown did shoplift , that's not why police said he was stopped or why he was shot . #mikebrown #ferguson <end>",rumours
'498515980205948928,How police treat white #opencarry supporter vs an unarmed black teen . Wonder why ? #MikeBrown #Ferguson $URL$ <end>,non-rumours
'580319206400475136,French police have confirmed that an #Airbus operated by - #Germanwings has crashed in Southern France <end>,rumours
'553098796108750848,"Today's cartoon , by @DaveBrownToons . #CharlieHebdo #JeSuisCharlie $URL$ <end>",non-rumours
'553536358950916096,BREAKING : ANOTHER HOSTAGE SITUATION IN EASTERN PARIS . <end>,non-rumours
'499689757652566016,$RESERVED$ . @FOX2now : The #STL SWAT team has weapons drawn in #Ferguson at a protest in broad daylight with media attending $URL$ <end>,non-rumours
'580325235653799936,"Flight #4U9525 climbed to 38,000 feet before before it started to descend and lost signal at 6,800 ft / @flightradar24 $URL$ <end>",rumours
'499689349420568577,The #STL SWAT team has weapons drawn in #Ferguson at a protest in broad daylight with media attending $URL$ <end>,non-rumours
'552832817089236992,Stills from eyewitness video show two #CharlieHebdo attackers wearing hoods & black clothing shoot a wounded man $URL$ <end>,rumours
'580337178506584064,Why do these catastrophes happen ? Awful news about the #germanwings plane that has crashed . Thoughts are with those affected . Very sad indeed <end>,non-rumours
